shaderFrequency,shaderPhase,shaderMix,shaderDilation,pulseSizeAmplitude,pulseSizePeriod,pulseSizeRate,pulseSizeOffset,pulseSizeOSC,pulseSizeOSCOffset,pulseOpacityAmplitude,pulseOpacityPeriod,pulseOpacityRate,pulseOpacityOffset,pulseOpacityOSC,displacementAmplitude,displacementExponent,feedbackStrength,feedbackR,feedbackG,feedbackB,rgbDelayMix,p3dMix,p3dMode,p3dAmplitude,p3dOrthoPerspective,edgeTraceMix,edgeTraceMode,colorLookupId,circCmpFreq,circCmpPhase,circCmpReset,circCmpPlay,gridScl,gridColorNoiseRandom,gridShiftRateX,gridShiftRateY,gridVertStripesOn,gridMix,circCmpMix
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,1,2.13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,1,2.13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,1,2.13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,1,2.13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2826154,0,0.8,1,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,1,2.13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2826154,0,0.8,1,0,0,0,0,0,0,0,1
0.25,0,0,0,0,0,0,3.06,0,2.13,2.77,0,2.83,3.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2826154,-0.3,0,1,1,1.4,0,-0.29,-0.51,0.96,1,0
0.25,0,0,0,0,0,0,0,1,2.13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2826154,-0.3,0.8,0,1,0.5,0,0,0,0,1,0
0.25,0,0,1.22,0,0,0,0,1,2.13,0,0,0,0,1,0.26,0.53,0.38,0.33,0.07,0.1,0.07,0,0,0,0,0,0,629637,-0.3,0.8,0,1,4,0,0.48,0.6,1,1,0
